name,operator,output,source,method,wikidata_id,latitude,longitude
"Michipicoten High Falls Generation Station","Great Lakes Power","45.00 MW","hydro","water-storage",,,
"Starwood Solar Sault Ste. Marie 2/3","KKR Global Infrastructure","45.00 MW","solar","photovoltaic",,,
"Starwood Solar Sault Ste. Marie 2/3","KKR Global Infrastructure","45.00 MW","solar","photovoltaic",,,
"Starwood Solar Sault Ste. Marie 2/3","KKR Global Infrastructure","45.00 MW","solar","photovoltaic",,,
"Starwood Solar Sault Ste. Marie 2/3","KKR Global Infrastructure","45.00 MW","solar","photovoltaic",,,
"Starwood Solar Sault Ste. Marie 2/3","KKR Global Infrastructure","45.00 MW","solar","photovoltaic",,,
"Starwood Solar Sault Ste. Marie 2/3","KKR Global Infrastructure","45.00 MW","solar","photovoltaic",,,
"Starwood Solar Sault Ste. Marie 2/3","KKR Global Infrastructure","45.00 MW","solar","photovoltaic",,,
"Island Falls Generating Station","H2O Power","44.30 MW","hydro","run-of-the-river",,,
"Castle River Wind Farm",,"44.00 MW","wind",,,,
"Nanticoke Solar Farm","Ontario Power Generation;Six Nations of the Grand River Development Corporation;Mississaugas of the Credit First Nation","44.00 MW","solar","photovoltaic",,,
"Invista Maitland",,"42.80 MW","gas",,,,
"Parc éolien Le-Nordais","TransAlta","42.75 MW","wind",,,,
"Burchill Wind Energy","Tobique First Nation Saint John Energy Natural Forces","42.00 MW","wind","wind_turbine",,,
"Mersey Hydro","Nova Scotia Power","42.00 MW","hydro","water-storage",,,
"Seton Powerhouse","BC Hydro","42.00 MW","hydro",,Q7456809,,
"Wrentham Solar Project","Solar Krafte","41.40 MW","solar","photovoltaic",,,
"Meadow Lake Power Station","SaskPower","41.00 MW","gas","combustion",,,
"Big Silver Creek",,"40.60 MW","hydro",,,,
"Centrale de Magpie","Innergex","40.60 MW","hydro",,,,
"Strathmore Solar Farm","Capital Power","40.50 MW","solar","photovoltaic",,,
"Borden Generating Station","Maritime Electric","40.00 MW","oil","combustion",Q4944492,,
"Granite Canal Hydroelectric Generating Station",,"40.00 MW","hydro",,Q5595835,,
"Suncor Adelaide Wind Energy","Suncor Adelaide Wind Limited","40.00 MW","wind",,,,
"Whitehorse Hydro Plant","Yukon Power","40.00 MW","hydro",,Q2058,,
"Harrow Wind Farm","Engie Energy Internationa","39.60 MW","wind","wind_turbine",,,
"Kingsbridge Wind Farm","Capital Power","39.60 MW","wind","wind_turbine",,,
"Empress Solar",,"39.00 MW","solar","photovoltaic",,,
"Deerfoot Solar Park","DP Energy","37.00 MW","solar","photovoltaic",,,
"Cascade Hydro Power Plant","TransAlta Corporation","36.00 MW","hydro","water-storage",,,
"Starwood Solar Sault Ste. Marie","EDF Renewables","35.00 MW","solar","photovoltaic",,,
"Upper Stave River",,"33.50 MW","hydro",,,,
"Stardale Solar Farm","Innergex","33.20 MW","solar","photovoltaic",,,
"Clowhom Powerhouse",,"33.00 MW","hydro","water-storage",,,
"Amherst I Wind Farm","Sprott Power Corporation","31.50 MW","wind","wind_turbine",,,
"Pubnico Point Wind Energy Center","NextEra Energy Canada","30.60 MW","wind","wind_turbine",,,
"Brooklyn Power","Emera Energy","30.00 MW","biomass","combustion",,,
"Chin Chute Wind Farm","Acciona Energia","30.00 MW","wind",,,,
"Cochrane Solar Farm","Northland Power","30.00 MW","solar","photovoltaic",,,
"East Point Eastern Kings Wind Farm","PEI Energy Corporation","30.00 MW","wind","wind_turbine",,,
"Hermanville Clear Spring Wind Development Wind Farm","PEI Energy Corporation","30.00 MW","wind","wind_turbine",,,
"Irving Pulp and Paper",,"30.00 MW","biomass","combustion",,,
"Liskeard Solar Projects","TransCanada Energy Ltd.","30.00 MW","solar","photovoltaic",,,
"Magrath Wind Power Project","Suncor Energy","30.00 MW","wind",,,,
"Grand Manan Power Station","NB Power","29.00 MW","oil","thermal",,,
"Grand Manan Power Station","NB Power - Grand Manan","29.00 MW","oil","combustion",,,
"Brooks Solar II Project","Elemental Energy","28.00 MW","solar","photovoltaic",,,
"Chapais-Énergie","Nexolia","28.00 MW","biomass","combustion",,,
"Peter Sutherland Sr. Generating Station",,"28.00 MW","hydro",,,,
"Sissiboo Hydro","Nova Scotia Power","28.00 MW","hydro","water-storage",,,
"Jackfish Lake Power Plant","Northwest Territories Power Corporation","27.66 MW","diesel","combustion",,,
"Barlow Solar Park","DP Energy","27.00 MW","solar","photovoltaic",,,
"Douglas Creek","Innergex Renewable Energy","27.00 MW","hydro",,,,
"Fermeuse Wind Farm","Elemental Energy","27.00 MW","wind","wind_turbine",,,
"Lamont Creek","Innergex","27.00 MW","hydro","run-of-the-river",,,
"St. Lawrence Wind Farm","Elemental Energy","27.00 MW","wind","wind_turbine",,,
"Red Lily Wind Power Facility","Algonquin Power and Utilities Corp.","26.00 MW","wind",,,,
"Centrale hydroélectrique de Portneuf 1","Innergex","25.90 MW","hydro","run-of-the-river",,,
"Boulder Creek Hydro",,"25.30 MW","hydro",,,,
"AV Nackawic",,"25.00 MW","biomass","combustion",,,
"Aménagement hydroélectrique Sheldrake","MRC de Minganie et Nation Innu d'Ekuanitshit","25.00 MW","hydro","run-of-the-river",,,
"Kneehill Solar","Capstone Infrastructure","25.00 MW","solar","photovoltaic",,,
"Michichi Solar","Capstone Infrastructure","25.00 MW","solar","photovoltaic",,,
"Prairie Sunlight II Solar","Solar Krafte Utilities","25.00 MW","solar","photovoltaic",,,
"Skookum Creek Powerhouse","Run of River Power","25.00 MW","hydro","water-storage",,,
"Upper Mamquam","TransAlta","25.00 MW","hydro","run-of-the-river",,,
"Whitecourt Power","Capstone","25.00 MW","biofuel","combustion",,,
"Le Granit",,"24.60 MW","wind",,,,
"Parc éolien La Mitis","MRC de la Mitis et EDF Énergies Nouvelles","24.60 MW","wind",,,,
"Parc éolien Le plateau 2","Boralex et Régie intermunicipale de l’énergie Gaspésie-Îles-de-la-Madeleine","24.60 MW","wind",,,,
"Parc éolien Viger-Denonville","MRC de Rivière-du-Loup et Innergex","24.60 MW","wind",,,,
"Monarch Solar","Concord Monarch Partnership","24.00 MW","solar","photovoltaic",,,
"Parc éolien communautaire de Frampton","Boralex","24.00 MW","wind",,,,
"Parc éolien communautaire de Saint-Philémon","Parc éolien St-Philémon S.E.C.","24.00 MW","wind",,Q117604157,,
"Point Tupper Wind","Enercon Canada","24.00 MW","wind","wind_turbine",,,
"Puntledge River Generating Station",,"24.00 MW","hydro","run-of-the-river",,,
"St. Isidore","EDF Renewables","24.00 MW","solar","photovoltaic",,,
"Tusket Combustion Turbine","Nova Scotia Power","24.00 MW","diesel","combustion",,,
"Parc éolien Saint-Damase","Innergex","23.50 MW","wind",,,,
"Arnprior Solar Project","EDF Renewables","23.40 MW","solar","photovoltaic",Q4795407,,
"Centrale Hydro-Canyon Saint-Joachim","Société Hydro-Canyon Saint-Joachim","23.20 MW","hydro","run-of-the-river",,,
"Ellershouse Wind Farm","Alternative Resource Energy Authority","23.15 MW","wind","wind_turbine",,,
"Black River Hydro","Nova Scotia Power","23.00 MW","hydro","water-storage",,,
"Coaldale Solar","Concord Coaldale Partnership","23.00 MW","solar","photovoltaic",,,
"DeCew I Generating Station","Ontario Power Generation","23.00 MW","hydro","run-of-the-river",,,
"Fire Creek","Innergex Renewable Energy","23.00 MW","hydro",,,,
"Gartshore Generating Station","Brookfield Renewable Energy","23.00 MW","hydro","water-storage",,,
"Hays Solar","Canadian Solar","23.00 MW","solar","photovoltaic",,,
"Jenner Solar","Canadian Solar","23.00 MW","solar","photovoltaic",,,
"Morse Wind Power Facility","SaskPower","23.00 MW","wind",,,,
"Solar Sault Ste. Marie","First Solar","23.00 MW","solar","photovoltaic",,,
"Suffield Solar Facility","BluEarth Renewables","23.00 MW","solar","photovoltaic",,,
"Aishihik Hydro Plant","Yukon Energy Corporation","22.00 MW","hydro","run-of-the-river",,,
"Ear Falls Generating Station","Ontario Power Generation","22.00 MW","hydro","run-of-the-river",,,
"Fundy Ocean Research Center for Energy","Fundy Ocean Research Centre for Energy","22.00 MW","tidal","stream",,,
"Innisfail Solar","Elemental Energy","22.00 MW","solar","photovoltaic",,,
"Metro Vancouver Waste-to-Energy Facility","Covanta","22.00 MW","waste","combustion",,,
"Prairie Sunlight III Solar","Solar Krafte Utilities","22.00 MW","solar","photovoltaic",,,
"Stokke Creek","Innergex","22.00 MW","hydro","run-of-the-river",,,
"Vulcan Solar",,"22.00 MW","solar",,,,
"Zeballos Power Plant","Kruger","21.85 MW","hydro",,Q57514952,,
"Centrale des Sept-Chutes","Hydro-Québec","21.60 MW","hydro","run-of-the-river",,,
"Summerside Sunbank","City of Summerside","21.60 MW","solar","photovoltaic",,,
"Tretheway Creek","Innergex","21.20 MW","hydro","run-of-the-river",,,
"Centrale du lac-Robertson","Hydro-Québec","21.00 MW","hydro",,Q2944526,,
"Summerside Sunbank","City of Summerside","21.00 MW","solar","photovoltaic",,,
"East Strathmore Solar Project","Elemental Energy","20.50 MW","solar","photovoltaic",,,
"Abw Solar Belmont","First Solar","20.00 MW","solar","photovoltaic",,,
"Abw Solar Belmont","First Solar","20.00 MW","solar","photovoltaic",,,
"Abw Solar Walpole","First Solar","20.00 MW","solar","photovoltaic",,,
"Amherstburg Solar","Capstone Infrastructure","20.00 MW","solar","photovoltaic",,,
"Amherstburg Solar Park","Capstone","20.00 MW","solar","photovoltaic",,,
"Burdett Solar","BluEarth Renewables","20.00 MW","solar","photovoltaic",,,
"Cowley North Wind Farm","TransAlta Renewables","20.00 MW","wind",,,,
"Greenhill Gas Turbine","Newfoundland Power","20.00 MW","gas","combustion",,,
"Moore Solar","NextEra Energy Canadian Operating Services","20.00 MW","solar","photovoltaic",,,
"Ranney Falls Generating Station","Ontario Power Generation","20.00 MW","hydro","run-of-the-river",,,
"Sombra Solar Energy Centre","NextEra Energy Canadian Operating Services","20.00 MW","solar","photovoltaic",,,
"Western Lily Wind Power Facility","Gaia Power, Inc.","20.00 MW","wind",,,,
"Bone Creek",,"19.00 MW","hydro",,,,
"Hogg Generating Station","Brookfield Renewable Energy","19.00 MW","hydro","run-of-the-river",,,
"Kananaskis Plant","TransAlta","19.00 MW","hydro","run-of-the-river",,,
"Yellow Lake Solar","BluEarth Renewables","19.00 MW","solar","photovoltaic",,,
"Star Lake Hydroelectric Generating Station","Enel Green Power, Newfoundland and Labrador Hydro","18.40 MW","hydro",,,,
"Mini-centrale de la 11e chute","Énergie hydroélectrique Mistassini","18.30 MW","hydro","run-of-the-river",,,
"Bésy","Resolute Forest Products","18.00 MW","hydro","run-of-the-river",,,
"Healey Falls Hydroelectric","Ontario Power Generation","18.00 MW","hydro","water-storage",,,
"Taltson Hydroelectric Power Plant","Northwest Territories Power Corporation","18.00 MW","hydro","run-of-the-river",,,
"Tipella Creek",,"18.00 MW","hydro","run-of-the-river",,,
"Ganaraska Wind Farm",,"17.60 MW","wind",,,,
"Durham York Energy Centre","Regional Municipalities Of Durham And York","17.50 MW","waste","combustion",,,
"Northwest Stave River",,"17.50 MW","hydro",,,,
"Menihek Hydroelectric Generating Station","Newfoundland and Labrador Hydro","17.20 MW","hydro","run-of-the-river",,,
"Stavely Solar Farm",,"17.00 MW","solar","photovoltaic",,,
"Centrale de Drummondville - Barrage de Drummondville",,"16.00 MW","hydro",,Q2944470,,
"Long Sault Rapids Generating Station","Algonquin Power","16.00 MW","hydro","run-of-the-river",,,
"Sechelt Creek Generating Station",,"16.00 MW","hydro",,,,
"Volcano Creek Hydroelectric Project","Coast Mountain Hydro","16.00 MW","hydro","run-of-the-river",,,
"Volcano Creek Hydroelectric Project",,"16.00 MW","hydro",,,,
"[unnamed]","Innergex","16.00 MW","hydro",,,,
"Amherstburg II","Enbridge","15.00 MW","solar","photovoltaic",,,
"Brooks Solar 1","Elemental Energy","15.00 MW","solar","photovoltaic",,,
"Centrale de Saint-Narcisse","Hydro-Québec","15.00 MW","hydro","run-of-the-river",Q2944486,,
"Dickson Dam","Algonquin Power","15.00 MW","hydro",,,,
"Pennask Wind Farm",,"15.00 MW","wind","wind_turbine",,,
"St. George Dam","St. George Power","15.00 MW","hydro","run-of-the-river",,,
"Ocean Falls",,"14.50 MW","hydro","water-storage",,,
"Chute-aux-Galets","Resolute Forest Products","14.40 MW","hydro","run-of-the-river",Q113378366,,
"Chappice Lake Solar-Storage Project","Elemental Energy","14.00 MW","solar","photovoltaic",,,
"Horseshoe Plant","TransAlta","14.00 MW","hydro","run-of-the-river",,,
"Lower Sturgeon Falls Hydroelectric Generating Station",,"14.00 MW","hydro","run-of-the-river",Q11986882,,
"Sable Wind","Municipality of the District of Guysborough","13.80 MW","wind","wind_turbine",,,
"Bull Creek",,"13.60 MW","wind",,,,
"Iqaluit","Qulliq Energy Corporation","13.60 MW","diesel","combustion",,,
"kīsikāw pīsim Solar Farm","EPCOR","13.50 MW","solar","photovoltaic",,,
"Fort Frances Generating Station","H2O Power","13.10 MW","hydro","run-of-the-river",,,
"Harris Generating Station",,"13.00 MW","hydro",,,,
"Michichi Creek Solar Farm","Concord Green Energy","13.00 MW","solar","photovoltaic",,,
"Smiths Falls 2 Solar Facility","Recurrent Energy","13.00 MW","solar","photovoltaic",,,
"Smiths Falls 5 Solar Facility","Recurrent Energy","13.00 MW","solar","photovoltaic",,,
"Smiths Falls 6 Solar Facility","Recurrent Energy","13.00 MW","solar","photovoltaic",,,
"Beckwith Solar","EffiSolar Energy, Engie Energy Services International and Mitsui. Engie Energy Services International","12.70 MW","solar","photovoltaic",,,
"Parkway Solar","GS One-Parkway Solar Farm LP","12.70 MW","solar","photovoltaic",,,
"Elmsley Solar East","EDF Renewables","12.00 MW","solar","photovoltaic",,,
"Elmsley Solar West","EDF Renewables","12.00 MW","solar","photovoltaic",,,
"Saint Isidore Solar","EDF Renewables","12.00 MW","solar","photovoltaic",,,
"Summerside Diesel Generation Plant","Summerside Electric","12.00 MW","diesel","combustion",,,
"Summerside Wind Farm","Summerside Electric","12.00 MW","wind","wind_turbine",,,
"[unnamed]","TransAlta","12.00 MW","hydro","water-storage",,,
"Bear River Hydro","Nova Scotia Power","11.50 MW","hydro","water-storage",,,
"Oro-Medonte Solar Farm","BlackRock","11.50 MW","solar","photovoltaic",,,
"Cypress Wind Power Facility","SaskPower","11.00 MW","wind",,,,
"Lequille Hydroelectric Power Station","Nova Scotia Power","11.00 MW","hydro","water-storage",,,
"Nepisiguit Falls Generating Station","NB Power","11.00 MW","hydro","run-of-the-river",,,
"St. Margaret's Bay Hydroelectric System","Nova Scotia Power","11.00 MW","hydro","water-storage",,,
"Stone Mills","DIF Infrastructure","11.00 MW","solar","photovoltaic",,,
"W.R. Beatty Generating Station","Brookfield Renewable Power","11.00 MW","hydro","run-of-the-river",,,
"Fort William","SkyPower","10.90 MW","solar","photovoltaic",,,
"North Cape Wind Farm","PEI Energy Corporation","10.56 MW","wind","wind_turbine",,,
"Alberta Solar One","Enbridge, Morgan Solar Inc","10.50 MW","solar","photovoltaic",,,
"Mobile Hydro Plant","Newfoundland Power","10.50 MW","hydro","water-storage",,,
"First Light 2","SunEdison / Sky Power","10.40 MW","solar","photovoltaic",,,
"Sandspit Power Plant","BC Hydro","10.20 MW","diesel","combustion",,,
"Adelaide Solar Power Plant","Recurrent Energy","10.00 MW","solar","photovoltaic",,,
"Alfred Solar Energy Project","SunE Alfred LP (SunEdison) formerly 2225049 Ontario Inc.","10.00 MW","solar","photovoltaic",,,
"Barlow Solar","EDF Renewables","10.00 MW","solar","photovoltaic",,,
"Beamlight Solar Project","Concorde","10.00 MW","solar","photovoltaic",,,
"Belleville North Generating Station","Northland Power","10.00 MW","solar","photovoltaic",,,
"Belleville South Generating Station","Northland Power","10.00 MW","solar","photovoltaic",,,
"Belleville TS Demorestville Solar Energy Project","2225051 Ontario Inc. (also Axio Power and SunEdison)","10.00 MW","solar","photovoltaic",,,
"Big Chute Hydro-Electric Generating Station","Ontario Power Generation","10.00 MW","hydro","run-of-the-river",,,
"Breen 2","Recurrent Energy","10.00 MW","solar","photovoltaic",,,
"Breen 2","Recurrent Energy","10.00 MW","solar","photovoltaic",,,
"Brockville 1 Solar Facility","Axium Infinity Solar","10.00 MW","solar","photovoltaic",,,
"Brockville Solar Farm","EffiSolar","10.00 MW","solar","photovoltaic",,,
"Burk's Falls East Solar Project","Northland Power","10.00 MW","solar","photovoltaic",,,
"Burk's Falls West Solar Project","Northland Power","10.00 MW","solar","photovoltaic",,,
"Central Utilities","York University","10.00 MW","gas","combustion",,,
"Charlot River Power Station","SaskPower","10.00 MW","hydro","water-storage",,,
"Chebucto Pockwock","Pockwock Wind Limited Partnership","10.00 MW","wind","wind_turbine",,,
"CityLights Solar Farm","Renewable Energy Trust Capital Inc.","10.00 MW","solar","photovoltaic",,,
"Cornwall Solar","Algonquin Power","10.00 MW","solar","photovoltaic",,,
"Crosby Generating Station","Northland Power","10.00 MW","solar",,,,
"Dave Rampel Solar Farm","Rainy River First Nations","10.00 MW","solar","photovoltaic",,,
"David Brown Solar Park","Saturn Power Inc.","10.00 MW","solar","photovoltaic",,,
"DiscoveryLight","DiscoveryLightLP (aka Canadian Solar Solutions Inc.)","10.00 MW","solar","photovoltaic",,,
"EarthLight Solar Farm","EarthLight LP (Canadian Solar)","10.00 MW","solar","photovoltaic",,,
"EarthLight Solar Farm","EarthLight LP (Canadian Solar)","10.00 MW","solar","photovoltaic",,,
"EarthLight Solar Farm","EarthLight LP (Canadian Solar)","10.00 MW","solar","photovoltaic",,,
"Edwardsburgh Morrisburg Solar Project","Penn Energy Renewables, Ltd","10.00 MW","solar","photovoltaic",,,
"Erie Ridge Solar Field",,"10.00 MW","solar","photovoltaic",,,
"Ernestown Wind Farm","Horizon Legacy","10.00 MW","wind","wind_turbine",,,
"FotoLight Solar Farm","Renewable Energy Trust Capital Inc.","10.00 MW","solar","photovoltaic",,,
"Gesner Wind Farm","Saturn Power","10.00 MW","wind","wind_turbine",,,
"Glenarm Solar Farm","DIF Infrastructure","10.00 MW","solar","photovoltaic",,,
"Glendale Solar Project","Northland Power Inc.","10.00 MW","solar","photovoltaic",,,
"GoldLight Solar Project","GoldLight LP (Canadian Solar)","10.00 MW","solar","photovoltaic",,,
"GoodLight Solar Project","BluEarth Renewables","10.00 MW","solar","photovoltaic",,,
"GoodLight Solar Project","BluEarth Renewables","10.00 MW","solar","photovoltaic",,,
"Hamilton (Port Hope 4) Solar Facility","Penn Energy","10.00 MW","solar","photovoltaic",,,
"Hamilton (Port Hope 4) Solar Facility","Penn Energy","10.00 MW","solar","photovoltaic",,,
"Highfield Solar Facility","Saturn Power","10.00 MW","solar","photovoltaic",,,
"Highlight Solar Project","CSI GP Val Caron Ltd. (Canadian Solar)","10.00 MW","solar","photovoltaic",,,
"Illumination","Illumination LP (Canadian Solar)","10.00 MW","solar","photovoltaic",,,
"Kingston Gardiner TS Odessa Solar Project","Axio Power and SunEdison","10.00 MW","solar","photovoltaic",,,
"Kingston Gardiner TS Unity Road Solar Project","SunEdison","10.00 MW","solar","photovoltaic",,,
"Lily Lake","Peterborough Utilities Inc.","10.00 MW","solar","photovoltaic",,,
"Lindsay Solar Farm","Perpetual Energy Systems, LLC","10.00 MW","solar","photovoltaic",,,
"Little Creek Solar Project","Canadian Solar","10.00 MW","solar","photovoltaic",,,
"Longueuil TS Malbouef",,"10.00 MW","solar","photovoltaic",,,
"LunarLight Solar Farm","Renewable Energy Trust Capital Inc.","10.00 MW","solar","photovoltaic",,,
"Marsh Hill Solar Farm","2327461 Ontario Inc.","10.00 MW","solar","photovoltaic",,,
"Matabitchuan Generating Station","Ontario Power Generation","10.00 MW","hydro","water-storage",,,
"Mattawiskwia Solar Project","Ontario Solar PV Fields","10.00 MW","solar","photovoltaic",,,
"Mattawiskwia Solar Project","Ontario Solar PV Fields","10.00 MW","solar","photovoltaic",,,
"Mayo B Hydro Plant","Yukon Energy","10.00 MW","hydro","run-of-the-river",,,
"McCann Solar Project","Northland Power Inc.","10.00 MW","solar","photovoltaic",,,
"Mighty Solar Project","Concord Green Energy","10.00 MW","solar","photovoltaic",,,
"Millbrook/Truro Heights Community Wind","Millbrook First Nation wi Wind Canada","10.00 MW","wind","wind_turbine",,,
"Mississippi Mills Solar Park","Canadian Solar","10.00 MW","solar",,,,
"Morley Solar Farm","Rainy River First Nations","10.00 MW","solar","photovoltaic",,,
"Newboro 1","SunEdison","10.00 MW","solar",,,,
"Newsboro 4","SunEdison","10.00 MW","solar",,,,
"Norfolk-Bloomsburg TS Solar Project","2225050 Ontario Inc. (c/o Axio Power)","10.00 MW","solar",,,,
"North Burgess Generating Station","Northland Power","10.00 MW","solar","photovoltaic",,,
"Northland Power Long Lakes Solar Project","Northland Power Solar Long Lakes Inc. operating as Northland Power Solar Long Lake L.P.","10.00 MW","solar","photovoltaic",,,
"Okikendawt Hydroelectric Project","Dokis First Nation","10.00 MW","hydro","run-of-the-river",,,
"Orillia 2","Recurrent Energy","10.00 MW","solar","photovoltaic",,,
"Penn Energy - Van Dorp Solar Projects","Port Hope Solar Farm Partnership","10.00 MW","solar","photovoltaic",,,
"RayLight Solar Park","RayLight LP (aka Canadian Solar)","10.00 MW","solar","photovoltaic",,,
"Rideau Lakes Generating Station","Northland Power","10.00 MW","solar",,,,
"Sandhurst Shores Solar Farm","SunEdison","10.00 MW","solar","photovoltaic",,,
"Silvercreek Solar Park","Silvercreek Solar Park","10.00 MW","solar","photovoltaic",,,
"Simcoe Solar Energy Centre 1","TerraForm Power","10.00 MW","solar","photovoltaic",,,
"Simcoe Solar Energy Centre 3","TerraForm Power","10.00 MW","solar","photovoltaic",,,
"Smiths Falls 4 Solar Facility","Recurrent Energy","10.00 MW","solar","photovoltaic",,,
"Snare Forks Hydroelectric Power Station","Northwest Territories Power Corporation","10.00 MW","hydro","run-of-the-river",,,
"Solar Spirit 4 Solar Farm","2224375 Ontario Inc. (SunEdison)","10.00 MW","solar","photovoltaic",,,
"Solar Spirit 4 Solar Farm","2224375 Ontario Inc. (SunEdison)","10.00 MW","solar","photovoltaic",,,
"Solar Spirit 4 Solar Farm","2224375 Ontario Inc. (SunEdison)","10.00 MW","solar","photovoltaic",,,
"Solar Spirit 4 Solar Farm","2224375 Ontario Inc. (SunEdison)","10.00 MW","solar","photovoltaic",,,
"South Glengarry Solar Project","Penn Energy","10.00 MW","solar","photovoltaic",,,
"SparkleLight Solar Farm","BluEarth Renewables","10.00 MW","solar","photovoltaic",,,
"SunE Rutley Solar Farm","SunEdison","10.00 MW","solar","photovoltaic",,,
"SunE Rutley Solar Farm","SunEdison","10.00 MW","solar","photovoltaic",,,
"SunEdison Bruining 1 Solar Project","SunE South Stormont GP Corp. (SunEdison)","10.00 MW","solar","photovoltaic",,,
"Sunderland Solar Farm","2327049 Ontario Inc. Solray","10.00 MW","solar","photovoltaic",,,
"Sunny Shores Solar Project (Glen Manor)","Spark Solar","10.00 MW","solar","photovoltaic",,,
"Sunny Shores Solar Project (Glen Manor)","Spark Solar","10.00 MW","solar","photovoltaic",,,
"WEICan R&D Park Wind Farm","Wind Energy Institute of Canada","10.00 MW","wind","wind_turbine",,,
"Wainright Solar Park","Ontario Solar PV Fields 1LP","10.00 MW","solar","photovoltaic",,,
"Welland Ridge Road Solar Project","SunE Welland Ridge GP Corp. operating as SunE Welland Ridge LP","10.00 MW","solar","photovoltaic",,,
"Welland Ridge Road Solar Project","SunE Welland Ridge GP Corp. operating as SunE Welland Ridge LP","10.00 MW","solar","photovoltaic",,,
"WindCharger Battery Storage","TransAlta","10.00 MW","battery",,,,
"York University Power Station",,"10.00 MW","gas","combustion",,,
"Zephyr (Watford)","Zephyr Corporation","10.00 MW","wind","wind_turbine",,,
"Clear Creek Wind Farm",,"9.90 MW","wind","wind_turbine",,,
"Mohawk Point Wind Farm",,"9.90 MW","wind","wind_turbine",,,
"13th Side Road Solar Power Plant","Skypower","9.50 MW","solar","photovoltaic",,,
"13th Side Road Solar Power Plant","Skypower","9.50 MW","solar","photovoltaic",,,
"Ingersoll 1","Recurrent Energy","9.50 MW","solar","photovoltaic",,,
"Ingersoll 1","Recurrent Energy","9.50 MW","solar","photovoltaic",,,
"Ingersoll 1","Recurrent Energy","9.50 MW","solar","photovoltaic",,,
"Ingersoll 1","Recurrent Energy","9.50 MW","solar","photovoltaic",,,
"Ingersoll 1","Recurrent Energy","9.50 MW","solar","photovoltaic",,,
"Ingersoll 1","Recurrent Energy","9.50 MW","solar","photovoltaic",,,
"Ingersoll 1","Recurrent Energy","9.50 MW","solar","photovoltaic",,,
"[unnamed]",,"9.30 MW","hydro","run-of-the-river",,,
"Aulds Mountain Wind Farm","Natural Forces","9.20 MW","wind","wind_turbine",,,
"Diavik Wind Farm","Diavik Diamond Mine Inc.","9.20 MW","wind",,,,
"First Light 1","SunEdison / Sky Power","9.10 MW","solar","photovoltaic",,,
"Ryerse","SkyPower","9.10 MW","solar",,,,
"Aria Solar","Canadian Solar","9.00 MW","solar","photovoltaic",,,
"Brockville 2 Solar Facility","Axium Infinity Solar","9.00 MW","solar","photovoltaic",,,
"Norway Wind Park Wind Farm","Engie","9.00 MW","wind","wind_turbine",,,
"Sisson Generating Station","NB Power","9.00 MW","hydro","run-of-the-river",,,
"Centrale Franquelin","Société d'énergie rivière Franquelin","8.80 MW","hydro","water-storage",,,
"Centrale hydroélectrique de Portneuf 3","Innergex","8.65 MW","hydro","run-of-the-river",,,
"Faro Diesel Facility","Yukon Energy","8.50 MW","diesel","combustion",,,
"Snare Rapids Hydro Plant","Northwest Territories Power Corporation","8.50 MW","hydro","run-of-the-river",,,
"Thunder Bay Airport Solar Farm","SkyPower","8.50 MW","solar","photovoltaic",,,
"Horsechops Plant","Newfoundland Power","8.13 MW","hydro","water-storage",,,
"L'Anse au Loup","Newfoundland and Labrador Hydro","8.05 MW","diesel","combustion",,,
"Alouette Lake Generating Station","BC Hydro","8.00 MW","hydro","water-storage",,,
"Big Eddy Generating Station","Ontario Power Generation","8.00 MW","hydro","run-of-the-river",,,
"Central Utilities Building","Brock University","8.00 MW","gas","combustion",,,
"Centrale solaire Gabrielle-Bodis","Hydro-Québec","8.00 MW","solar","photovoltaic",,,
"Crystal Falls Generating Station",,"8.00 MW","hydro",,,,
"Glen Mills Generating Station","Innergex","8.00 MW","hydro","run-of-the-river",,,
"Inuvik Power Plant","Northwest Territories Power Corporation","8.00 MW","gas","combustion",,,
"North Beaver Bank","Scotian Wind","8.00 MW","wind","wind_turbine",,,
"Paradise River Hydroelectric Generating Station","Newfoundland and Labrador Hydro","8.00 MW","hydro","run-of-the-river",,,
"Penn Energy - Brantgate Solar Project","Penn Energy Renewables Ltd.","8.00 MW","solar","photovoltaic",,,
"Penn Energy - Ridgefield Solar Project","Ridgefield Solar Farm Partnership","8.00 MW","solar","photovoltaic",,,
"Ramore Solar Project","Ontario Solar PV Fields","8.00 MW","solar","photovoltaic",,,
"Ramore Solar Project","Ontario Solar PV Fields","8.00 MW","solar","photovoltaic",,,
"Sturgeon Falls Generating Station","West Nipissing Power Generation","8.00 MW","hydro","run-of-the-river",,,
"Swift Rapids Generating Station","Ontario Power Generation","8.00 MW","hydro",,,,
"Walter Hardman Generating Station","BC Hydro","8.00 MW","hydro","water-storage",,,
"Waterloo Power Station","SaskPower","8.00 MW","hydro","water-storage",,,
"Waubaushene 4","Recurrent Energy","8.00 MW","solar","photovoltaic",,,
"Wesleyville Gas Turbine",,"8.00 MW","gas","combustion",,,
"St. Anthony Diesel Power Station","Newfoundland and Labrador Hydro","7.70 MW","diesel","combustion",,,
"Drummondville","Waste Managemrnt","7.60 MW","biogas","combustion",,,
"Bluefish Hydro","Northwest Territories Power Corporation","7.50 MW","hydro",,,,
"Fitzsimmons Creek Hydroelectric Project","Innergex","7.50 MW","hydro","run-of-the-river",,,
