name,operator,output,source,method,wikidata_id,latitude,longitude
"Bruce Nuclear Generating Station","Bruce Power","6,232 MW","nuclear","fission",Q795104,44.325306,-81.599389
"Centrale Robert-Bourassa","Hydro-Québec","5,616 MW","hydro","water-storage",Q1456859,53.795306,-77.440611
"Churchill Falls Generating Station","Newfoundland and Labrador Hydro","5,428 MW","hydro","water-storage",Q1458507,53.528611,-63.965833
"Darlington Nuclear Generating Station","Ontario Power Generation","3,512 MW","nuclear","fission",Q1739391,43.872778,-78.719722
"Gordon M. Shrum Generating Station","BC Hydro","2,880 MW","hydro","water-storage",Q1758688,56.016667,-122.201111
"Mica","BC Hydro","2,805 MW","hydro","water-storage",,50,-100
"Centrale La Grande-4",,"2,779 MW","hydro",,Q1339475,53.886111,-73.4625
"Revelstoke Generating Station","BC Hydro","2,480 MW","hydro",,Q1433635,51.049444,-118.193889
"La Grande-3","Hydro-Québec","2,418 MW","hydro","run-of-the-river",Q1339454,53.729694,-75.968306
"Centrale La Grande-2A","Hydro-Québec","2,106 MW","hydro","water-storage",Q1337853,53.779389,-77.548306
"Lennox Generating Station",,"2,100 MW","gas","combustion",Q6522858,44.146111,-76.8525
"Pickering Nuclear Generating Station","Ontario Power Generation","2,086 MW","nuclear","fission",Q1739455,43.811667,-79.065833
"Centrale de Beauharnois","Hydro-Québec","1,903 MW","hydro","run-of-the-river",Q925113,45.313889,-73.908889
"Genesee Generating Station","Capital Power","1,857 MW","gas","combustion",Q5532732,53.343056,-114.303056
"Centrale Manic-5","Hydro-Québec","1,596 MW","hydro",,Q1425918,50.646667,-68.724444
"Sir Adam Beck II Generating Station",,"1,499 MW","hydro","water-storage",Q7525907,43.1475,-79.044694
"Centrale La Grande-1","Hydro-Québec","1,436 MW","hydro",,Q1338919,53.734444,-78.573889
"Limestone Generating Station","Manitoba Hydro","1,340 MW","hydro","run-of-the-river",Q6830590,56.506889,-94.106889
"Kettle Generating Station","Manitoba Hydro","1,220 MW","hydro","run-of-the-river",Q6395516,56.384194,-94.635
"Centrale René-Lévesque","Hydro-Québec","1,183 MW","hydro","water-storage",Q1302322,49.739694,-68.592194
"Centrale Bersimis 1","Hydro-Québec","1,178 MW","hydro",,Q1410164,49.295806,-69.550806
"Centrale Jean-Lesage","Hydro-Québec","1,145 MW","hydro","water-storage",Q1328614,49.321667,-68.346667
"Centrale Shipshaw","Rio Tinto Alcan","1,145 MW","hydro",,Q3482327,48.45,-71.22
"Site C Powerhouse","BC Hydro","1,100 MW","hydro","run-of-the-river",,50,-100
"Centrale Manic-5-PA","Hydro-Québec","1,064 MW","hydro",,Q1425918,50.646667,-68.724444
"R.H. Saunders Generating Station","Ontario Power Generation","1,045 MW","hydro","run-of-the-river",,50,-100
"Greenfield Energy Centre","Calpine","1,038 MW","gas","combustion",Q5603958,42.769194,-82.452806
"Centrale Outardes-3","Hydro-Québec","1,026 MW","hydro","run-of-the-river",Q1329257,50,-100
"Long Spruce Generating Station",,"1,010 MW","hydro","run-of-the-river",Q373526,56.400306,-94.369389
"Coleson Cove Generating Station","NB Power","978 MW","oil","combustion",Q5144673,45.153611,-66.203056
"Kemano Generating Station","Rio Tinto","890 MW","hydro","water-storage",Q21188284,53.556944,-127.940833
"Kemano Generating Station",,"890 MW","hydro",,Q21188284,53.556944,-127.940833
"Centrale de la Sainte-Marguerite-3","Hydro-Québec","884 MW","hydro","water-storage",Q5257060,50,-100
"Centrale Laforge-1","Hydro-Québec","878 MW","hydro",,Q1338720,54.166694,-72.616694
"Centrale Bersimis-2","Hydro-Québec","869 MW","hydro","run-of-the-river",Q1338316,49.175306,-69.229194
"Shepard Energy Centre","Enmax / Capital Power","860 MW","gas","combustion",Q28233486,50.970556,-113.885
"Keephills Generating Station",,"858 MW","gas","combustion",Q6383236,53.448333,-114.450556
"Seven Mile Dam Generating Station","FortisBC","848 MW","hydro",,Q7457335,49.03,-117.503889
"Goreway Power Station","Ontario Power Authority","839 MW","gas","combustion",Q5586190,43.746111,-79.68
"Centrale de Chute-des-Passes","Rio Tinto Alcan","833 MW","hydro","water-storage",Q61376957,49.840561,-71.162781
"Centrale Bernard-Landry","Hydro-Québec","829 MW","hydro","run-of-the-river",Q65212746,52.181667,-76.050278
"Muskrat Falls","Newfoundland and Labrador Hydro","824 MW","hydro",,Q65211718,53.245556,-60.772778
"Boundary Dam Power Station","SaskPower","813 MW","coal","combustion",Q4949936,49.096389,-103.03
"Sheerness Generating Station","ATCO Electric - TransAlta Utilities","800 MW","gas","combustion",Q7492507,51.442222,-111.792222
"Centrale aux Outardes-4",,"785 MW","hydro",,Q1328582,49.705611,-68.905806
"Centrale de Carillon","Hydro-Québec","753 MW","hydro","run-of-the-river",Q2944472,45.568611,-74.383611
"Peace Canyon Generating Station","BC Hydro","736 MW","hydro",,Q7157342,55.981889,-121.994
"Keeyask Generating Station",,"695 MW","hydro",,Q65212702,56.349722,-95.201944
"Point Lepreau Nuclear Generating Station","NB Power","660 MW","nuclear","fission",Q1391137,45.069444,-66.455556
"Mactaquac Generating Station","NB Power","653 MW","hydro","run-of-the-river",Q65211669,50,-100
"Halton Hills Generating Station","Atura Power","642 MW","gas","combustion",,50,-100
"Centrale La Romaine-2","Hydro-Québec","640 MW","hydro","water-storage",Q65212845,50.624167,-63.194167
"Queen Elizabeth Power Station",,"634 MW","gas","combustion",Q7270374,52.095278,-106.706111
"Lingan Generating Station",,"620 MW","coal","combustion",Q6553764,46.235542,-60.039269
"Bay d'Espoir Hydroelectric Power Station",,"604 MW","hydro",,Q4874173,47.990244,-55.800142
"Kootenay Canal Generating Station","BC Hydro","583 MW","hydro",,Q6430821,49.452778,-117.518056
"Poplar River Power Station","SaskPower","582 MW","coal","combustion",Q7229425,49.0575,-105.483056
"Brighton Beach LP Power Station","Atco Power & Ontario Power Generation","580 MW","gas","combustion",Q4967600,42.279722,-83.095
"Centrale de cogénération de Bécancour","TC Énergie","550 MW","gas","combustion",Q11960391,46.3675,-72.403611
"Portlands Energy Centre","Ontario Power Generation/TransCanada Energy Limited","550 MW","gas","combustion",Q7232096,43.649389,-79.330806
"Portlands Energy Centre","Atura Power","550 MW","gas","combustion",Q7232096,43.649389,-79.330806
"Battle River Generating Station","ATCO Power","540 MW","gas","combustion",Q4870103,52.468889,-112.133889
"Centrale de la Toulnustouc","Hydro-Québec","526 MW","hydro",,Q203226,49.97,-68.16
"Centrale aux Outardes-2",,"523 MW","hydro","run-of-the-river",Q1329822,49.144444,-68.389722
"Sundance Power Station",,"514 MW","gas","combustion",Q7639182,53.5075,-114.556944
"Centrale Eastmain-1","Hydro-Québec","507 MW","hydro","run-of-the-river",Q65212745,50,-100
"NB Power Belledune Generating Station","NB Power","490 MW","coal","combustion",Q11960505,47.860281,-65.861389
"Waneta Dam","FortisBC","490 MW","hydro","run-of-the-river",Q7967344,49.004167,-117.611944
"Bridge River 1 & 2 Generating Stations","BC Hydro","478 MW","hydro",,Q4966280,50.731694,-122.2425
"Joffre Cogeneration CCGT Power Plant","Heartland Generation Ltd., Capital Power","474 MW","gas","combustion",Q6214627,52.306667,-113.553889
"Grand Rapids Generating Station","Manitoba Hydro","472 MW","hydro","run-of-the-river",,50,-100
"Centrale Brisay","Hydro-Québec","469 MW","hydro",,Q1338361,54.441694,-70.530611
"Buffalo Plains Wind Farm","Copenhagen Infrastructure Partners","466 MW","wind",,,50,-100
"Travers Solar","Travers 2 Solar LP","465 MW","solar","photovoltaic",,50,-100
"Holyrood Thermal Generating Station","Nalcor","450 MW","oil",,Q5887144,47.452817,-53.095481
"Centrale d'isle Maligne","Rio Tinto Alcan","448 MW","hydro","water-storage",Q2944567,48.58,-71.64
"Sarnia Regional Cogeneration Plant","TransAlta","444 MW","gas",,Q7424349,42.934722,-82.438056
"Sir Adam Beck I Generating Station",,"437 MW","hydro","water-storage",Q7525907,43.1475,-79.044694
"Des Joachims Power Station",,"429 MW","hydro",,Q11965343,46.181111,-77.695831
"Firebag Oil Sands power station",,"425 MW","gas","combustion",,50,-100
"Tufts Cove Generating Station","Nova Scotia Power","415 MW","gas;oil","combustion",,50,-100
"Centrale La Romaine-3","Hydro-Québec","414 MW","hydro","water-storage",Q65212846,50,-100
"Bécancour gas turbine","Hydro-Québec","411 MW","gas","combustion",,50,-100
"Millbank power plant","Energie NB Power","397 MW","diesel",,,50,-100
"Parc éolien Rivière-du-Moulin","EDF Renouvelables","395 MW","wind",,,50,-100
"Complexe hydroélectrique de Shawinigan","Hydro-Québec","394 MW","hydro","run-of-the-river",Q42805033,46.537222,-72.765861
"Centrale de la Péribonka",,"385 MW","hydro",,Q2944505,50,-100
"Brazeau Powerhouse","TransAlta","355 MW","hydro",,,50,-100
"Chinook Power Station","SaskPower","353 MW","gas","combustion",,50,-100
"Parc éolien de la Seigneurie de Beaupré","Boralex","350 MW","wind",,,50,-100
"Abitibi Canyon Generating Station",,"349 MW","hydro",,Q4667986,49.877806,-81.570806
"Centrale McCormick","Hydro-Québec","335 MW","hydro",,Q731237,49.193056,-68.326944
"Brandon Generating Station",,"333 MW","gas","combustion",Q4956866,49.845306,-99.889194
"Calgary Energy Centre","Enmax","320 MW","gas","combustion",Q28233484,51.1803,-113.9368
"Centrale Laforge-2","SEBJ; Hydro-Québec","319 MW","hydro",,Q1329837,54.588889,-71.280611
"Trenton Generating Station","Nova Scotia Power","310 MW","coal","combustion",,50,-100
"Jenner Wind Power Project Phase 1-3","Jenner Wind Limited Partnership (JWLP)","303 MW","wind",,,50,-100
"Centrale de la Trenche","Hydro-Québec","302 MW","hydro","water-storage",Q769693,47.75,-72.88
